Wildcard,Rank,Name,Region,Best Place,Total Points,Last Year
1,1,Исаков Евгений,Калининградская область,1,4379,2024
2,2,Илясов Дмитрий,Санкт-Петербург,1,3520,2024
3,3,Филинов Даниил,Приморский край,1,2448,2024
4,4,Вахрушев Владимир,Санкт-Петербург,2,2112,2024
5,5,Новожилов Данила,Санкт-Петербург,2,2047,2024
6,6,Фомин Максим,Московская область,2,1687,2023
7,8,Каптелов Петр,Калининградская область,3,1398,2024
8,11,Крысенков Глеб,Санкт-Петербург,3,1143,2024
