Wildcard,Rank,Name,Region,Best Place,Total Points,Last Year
1,1,Авдеев Никита,Камчатский край,1,3587,2024
2,5,Расшиваев Сергей,Санкт-Петербург,1,2293,2024
3,7,Какурин Эльдар,Москва,1,1882,2024
4,2,Исаков Евгений,Калининградская область,2,2673,2024
5,4,Зылев Даниил,Москва,3,2316,2024
6,6,Павликов Константин,Санкт-Петербург,4,2008,2024
7,12,Суворов Алексей,Приморский край,6,904,2024
8,8,Старков Андрей,Москва,6,1220,2023
