Wildcard,Rank,Name,Region,Best Place,Total Points,Last Year
1,1,Тихонова (Шаповал),Калининградская область,1,3259,2024
2,2,Матвеева Анна,Калининградская область,1,2991,2024
3,3,Позняк Анна,Москва,1,2649,2024
4,4,Рудик Майи,Москва,2,2128,2024
5,6,Вяткина Анна,Сахалинская область,3,1250,2024
