Wildcard,Rank,Name,Region,Best Place,Total Points,Last Year
1,1,Авдеев Никита,Камчатский край,1,4900,2024
2,2,Расшиваев Сергей,Санкт-Петербург,1,3700,2024
3,7,Какурин Эльдар,Москва,1,2300,2024
4,3,Исаков Евгений,Калининградская область,2,3700,2024
5,5,Зылев Даниил,Москва,3,2900,2024
6,6,Павликов Константин,Санкт-Петербург,4,2600,2024
7,14,Суворов Алексей,Приморский край,6,1000,2024
8,12,Старков Андрей,Москва,6,1500,2023
