Год,Всего участников,Новые,Доля новых (%),Средний возраст
2017,14,0,0.0,
2018,14,7,50.0,36.9
2019,17,9,52.94,32.1
2021,21,12,57.14,32.2
2022,21,8,38.1,33.8
2023,19,8,42.11,32.2
2024,24,11,45.83,32.0
