Год,Всего участников,Новые,Доля новых (%),Средний возраст
2017,16,0,0.0,
2018,20,13,65.0,28.8
2019,21,11,52.38,31.6
2021,25,16,64.0,33.1
2022,26,11,42.31,32.3
2023,24,12,50.0,32.5
2024,27,16,59.26,32.5
