Место,ФИО,Год рожд.,Разряд, звание,Выполненный разряд, звание,Регион
1,Чудненко Анна Сергеевна,1987,КМС,МС,Санкт-Петербург
2,Галимова Чулпан Илгизяровна,1987,1 разряд,КМС,Республика Татарстан
3,Тимаревская Анастасия Алексеевна,1986,3 разряд,КМС,Санкт-Петербург
4,Тиманнна Анжелика Игоревна,1989,3 разряд,КМС,Москва
5,Шаповал Анна Игоревна,1997,3 разряд,,Калининградская область
6,Тихолаз Ульяна Андреевна,1993,3 разряд,,Санкт-Петербург
