Rank,Name,Region,Category,Best Place,2017,2018,2019,2021,2022,2023,2024,Total Points
77,Черепенников Антон,Краснодарский край,мужчины,20,0,0,0,0,0,0,100,100
78,Корытко Константин,Сахалинская область,мужчины,20,0,0,0,0,0,100,0,100
79,Лещев Алексей,Камчатский край,мужчины,20,0,0,0,0,100,0,0,100
80,Саркисов Станислав,Московская область,мужчины,20,0,0,100,0,0,0,0,100
81,Огерь Виктор,Москва,мужчины,20,0,100,0,0,0,0,0,100
82,Булгаков Игорь,Калининградская область,мужчины,21,0,0,0,0,0,0,100,100
83,Эгле Вячеслав,Сахалинская область,мужчины,21,0,0,0,0,0,100,0,100
84,Соловьев Андрей,Приморский край,мужчины,21,0,0,0,0,100,0,0,100
85,Захаров Сергей,Краснодарский край,мужчины,21,0,0,100,0,0,0,0,100
86,Василенко Денис,Краснодарский край,мужчины,22,0,0,0,0,0,0,100,100
87,Цветков Михаил,Сахалинская область,мужчины,22,0,0,0,0,0,100,0,100
88,Шеин Николай,Приморский край,мужчины,22,0,0,0,0,100,0,0,100
89,Степаненко Ким,Приморский край,мужчины,22,0,0,0,100,0,0,0,100
90,Сивый Алексей,Севастополь,мужчины,23,0,0,0,0,0,0,100,100
91,Костин Евгений,Приморский край,мужчины,23,0,0,0,0,100,0,0,100
92,Блискунов Дмитрий,Калининградская область,мужчины,24,0,0,0,0,0,0,100,100
93,Гришин Евгений,Санкт-Петербург,мужчины,24,0,0,0,100,0,0,0,100
94,Горячев Ярослав,Москва,мужчины,25,0,0,0,100,0,0,0,100
95,Носов Антон,Республика Татарстан,мужчины,26,0,0,0,0,0,0,100,100
96,Михеев Павел,Краснодарский край,мужчины,27,0,0,0,0,0,0,100,100
97,Коновалов Александр,Мурманская область,мужчины,-,0,0,0,0,0,0,0,0
98,Трофимов Владимир,Краснодарский край,мужчины,-,0,0,0,0,0,0,0,0
99,Зиповски Алексей,Краснодарский край,мужчины,-,0,0,0,0,0,0,0,0
100,Гаянов Артур,Краснодарский край,мужчины,-,0,0,0,0,0,0,0,0
