Rank,Name,Region,Category,Best Place,2017,2018,2019,2021,2022,2023,2024,Total Points
78,Корытко Константин,Сахалинская область,мужчины,20,0,0,0,0,0,90,0,90
79,Эгле Вячеслав,Сахалинская область,мужчины,21,0,0,0,0,0,90,0,90
80,Цветков Михаил,Сахалинская область,мужчины,22,0,0,0,0,0,90,0,90
81,Суннагатулин Марсель,Камчатский край,мужчины,18,0,0,0,0,81,0,0,81
82,Лещев Алексей,Камчатский край,мужчины,20,0,0,0,0,81,0,0,81
83,Соловьев Андрей,Приморский край,мужчины,21,0,0,0,0,81,0,0,81
84,Шеин Николай,Приморский край,мужчины,22,0,0,0,0,81,0,0,81
85,Костин Евгений,Приморский край,мужчины,23,0,0,0,0,81,0,0,81
86,Шенн Николай,Магаданская область,мужчины,18,0,0,0,73,0,0,0,73
87,Степаненко Ким,Приморский край,мужчины,22,0,0,0,73,0,0,0,73
88,Гришин Евгений,Санкт-Петербург,мужчины,24,0,0,0,73,0,0,0,73
89,Горячев Ярослав,Москва,мужчины,25,0,0,0,73,0,0,0,73
90,Александров Антон,Краснодарский край,мужчины,17,0,0,59,0,0,0,0,59
91,Тыртышников Роман,Москва,мужчины,19,0,0,59,0,0,0,0,59
92,Саркисов Станислав,Московская область,мужчины,20,0,0,59,0,0,0,0,59
93,Захаров Сергей,Краснодарский край,мужчины,21,0,0,59,0,0,0,0,59
94,Табачник Константин,Москва,мужчины,17,0,53,0,0,0,0,0,53
95,Кармалов Кирилл,Москва,мужчины,19,0,53,0,0,0,0,0,53
96,Огерь Виктор,Москва,мужчины,20,0,53,0,0,0,0,0,53
97,Коновалов Александр,Мурманская область,мужчины,-,0,0,0,0,0,0,0,0
98,Трофимов Владимир,Краснодарский край,мужчины,-,0,0,0,0,0,0,0,0
99,Зиповски Алексей,Краснодарский край,мужчины,-,0,0,0,0,0,0,0,0
100,Гаянов Артур,Краснодарский край,мужчины,-,0,0,0,0,0,0,0,0
